tag,text
63881,"Can I ask what’s the difference between First Class Honours / Second Class (Upper) Honours etc and Honours (Highest Distinction) / Honours (Distinction) etc?
To my knowledge, the latter naming is the new, renamed version of the former so if that is so, why is everyone here still using the former naming instead of the latter? Is it because of habit?
Sorry for being ignorant but I was really confused when people here kept using the former naming and when I Googled it, I couldn’t really find much hahaha"
63880,The leaked results were just released and I realised my MA1521 calculus got merely a B+. I'm at a loss now since all my friends nearby were getting an A+. Does this mean that I will be facing hardship in the future? I'm really disappointed and lost all faith in myself now
63877,"From the leaked results, I found that I attained a D+ for a 2k mod with prereq. I really don't want a D+ on my grade and I want to go SEP (min req no grade below C), is it possible to ask to repeat the module?"
63876,"I am 30 and own a condo, intent was to collect rent. Met my gf the same time I collected my keys and she wanted to move in tgt. Is it only right that she affords half the rent? Gf is earning a decent income. She is extremely unhappy about this fact and would want to break up if she's asked to."
63875,"Hi guys!

May I check what’s the criteria for dean’s list? I just checked my results and I got 1A+,4As and 1B+. I’m thinking of using my SU on the B+ but I’m afraid that the SU will affect my eligibility of getting dean’s list.

Thank for your advice!"
63874,"Hi hi, i'm the OP that asked if anyone's interested in a NUSWhispers meet up ahaha~ ????

So.. I'll be organizing it on one of the Fridays in June. I'll PM the meet up details soon to all who commented your interest (not reacts ya). Anyway to answer the 2 questions..

1. Who pay?
Duh, you yourself. This ain't a sponsored meet up leh haha~ Though, don't worry.. I've chosen a wallet-friendly place. Even has free-flow.... Well, you'll find out if you attend keke.

2. What do we do during the meet up?
Well, it's a dinner.. So, we eat. Or if you're ready to step slightly out of your comfort zone, you can be sociable and talk to other NUSWhispers peeps. Or.. Is there any activity that you have in mind? O.o

Anyway, I'll PM within the next few days to all who commented on that previous and this current post. Cya guys soon!"
63873,"Even SMRT pays 3.8k for good honors. Their starting diploma pay is 2.4k. Good luck to employers offering 2.5k starting for fresh grads. They need a reality check. Accounting for inflation, 4k is no longer high by today’s standard. Source: https://www.channelnewsasia.com/news/singapore/smrt-starting-salary-jobs-staff-benefits-9987908"
63868,"Do your have any friends that is very sensitive and subjective? I tried to help her by giving feedback and suggestion to improve her art work. She will end up saying things like "" LOL I don't care"", ""forgot about it, too lazy to make the changes"", "" eww, this artist repost pic that I don't like. Mute and block her"", ""I no need any inspiration or references, I can practice myself"" 

When she posted her artwork online, she will complain how come so ugly, why no one like my arts, why no followers.. etc. 

I feel like I am wasting my time helping her.

If in your case, what will you do?"
63866,"#63851: PSA from graduating senior, in case you didn't know, standard interview format is leetcode-style questions (~CS2010 in my time), plus role/company-specific questions (db/networking/js etc), 

Interviewing is a muggable skill and imo more a gauge of focused effort than academic talent, so the lonely hours you put in training (by design) will be rewarded with offer letters. 

You have stats knowledge which is somewhat hot-for-now in ML, encourage you to explore there a bit if stats is your thing. As for internships, from experience CAP was not mentioned, just apply early, show you have the skills. Overseas may pay well if self-source, my 2nd year internship was not that helpful in growing my technical skill but it helps to have an awareness and intuition of different working environments, in terms of pay, culture, company direction, etc. Good luck, have fun!"
63865,"When I look for job requirements they always seem to ask something way higher than what I achieved (I’m in Psychology) such as a minimum 2nd upper, or strong desires in pursuing Masters/PhD, relevant experience/knowledge in the field etc. But I really have no confidence in fulfilling any of these criteria. I could not even get a thesis professor so if they do ask for a recent report I have, it’s literally my lab report or some module report which is so much easier (since I don’t really need to care about the experiments or results as much).

Granted these requirements are usually found for research positions, but I do have some interest in that (despite my below-expectation grades)

Does this mean I should work in places that accept a general degree (like HR I guess…) before working my way up? I actually have only started scouting for a job in the past few weeks despite having graduated for a while now"
63864,"To #63854, have you ever thought that maybe you got it above 4k but others around you were just falsely declaring theirs so as to not appear lousy compared to you? Seeing that how ppl can falsely claim their grades, it's not entirely impossible they did that. Guys, the days when you can get 4k are when there was no influx of foreigners maybe, these ppl spouting the 4k nonsense might not have even seen the reality of the number of foreigners around in the workforce or the number of Malaysians for that matter which highly likely makes their claim false."
63861,"When do they usually send the email saying that you're on the Dean's List? Is it the day of exam results release, or weeks later?"
63859,"I am nearing 30 and never have any luck with girls. All the girls I met in school or work or dating app are somehow not interested in me despite my best efforts. My longest relationship lasted barely a month. I have a 2nd upper degree and a stable job and income but the ladies don't buy into it. I never go for girls out of my league but even those average girls rejected me. One of my aims in life is to have children of my own. Now I am of this age, I am considering should I go for a foreign wife? I saw many agencies promising you can get a wife in a few months for a few thousand dollars. The biggest draw is that I don't need to go through the long period of dating hassle and uncertainty and gives me a family for that price."
63857,"My advice is to push for compensation to match the value you create for the company — not what the prevailing market rate is.

I have been interviewing at companies based in both Singapore and the US over the last two semesters. Anecdotally, the US pays much higher than in Singapore. In one occurrence, I received an offer of about 210k SGD a year for a role in the US office, whereas I was only offered about 90k SGD a year for the exact same role in the Singapore office (including CPF contribution). 

That is ridiculous.

Companies should not have the privilege to generate the same amount of money in both the US and Singapore, enjoy lower taxes in Singapore, and still pay their workers less just because that is the prevailing market rate.

As someone who has decided to leave the country, my message to people who choose to stay is this: 

Yes, be realistic about your expectations — don't ask for more than you provide — but if you're offered less than the value you bring to the table, it is your duty to push back against unfair compensation.

Think about the message you're sending if you don't push back."
63856,"Results were accidentally available earlier in the day on myedurec. AND I OOP! All the best to every student out there, rmb we are more than just our academic scores. Peace out."
63854,"To #63854, have you ever thought that maybe you got it above 4k but others around you were just falsely declaring theirs so as to not appear lousy compared to you? Seeing that how ppl can falsely claim their grades, it's not entirely impossible they did that. Guys, the days when you can get 4k are when there was no influx of foreigners maybe, these ppl spouting the 4k nonsense might not have even seen the reality of the number of foreigners around in the workforce or the number of Malaysians for that matter which highly likely makes their claim false."
63851,"#63851: PSA from graduating senior, in case you didn't know, standard interview format is leetcode-style questions (~CS2010 in my time), plus role/company-specific questions (db/networking/js etc), 

Interviewing is a muggable skill and imo more a gauge of focused effort than academic talent, so the lonely hours you put in training (by design) will be rewarded with offer letters. 

You have stats knowledge which is somewhat hot-for-now in ML, encourage you to explore there a bit if stats is your thing. As for internships, from experience CAP was not mentioned, just apply early, show you have the skills. Overseas may pay well if self-source, my 2nd year internship was not that helpful in growing my technical skill but it helps to have an awareness and intuition of different working environments, in terms of pay, culture, company direction, etc. Good luck, have fun!"
63850,How steep can bell curve get? 87% overall for CS1010E and still got an A-. This is so sad.
63849,"To Prof Ben Leong: What are the differences in studying Computer Science in NUS & NTU eg: teaching style, modules, relevance of modules in working world."
63848,"After 3 semesters, this is where I bid goodbye to my FCH CAP, and possibly my dreams of going into IB. #FeelsBadMan"
63846,"Hi guys, do you think the grades leaked on EduRec are confirmed? Mine appeared decent but I don't want to celebrate too early just in case.

Have a good weekend!"
63845,"Re: fashion sense in uni, would it be weird for a guy to wear long pants/jeans on a daily basis? I don't like exposing my legs because i have a lot of body hair, and throughout my school life teachers and schoolmates have mocked me for it."
63841,"To Prof Ben Leong: as a more active user of NUSWhispers and one who has strong opinions of industry-standard salaries, perhaps you can explain why some FCH graduates are asking for salaries ranging from 7k to 10k? Thank you."
63839,"Fate has a way of biting back at you. I did well at my A-levels, and entered accountancy, thinking it was a lucrative industry. I'd looked down at one of my best friends, who screwed up for his A-levels and then entered NIE to become a teacher - which was his last resort because he actually wanted to do the same thing as me. Throughout the years I felt sorry for him, but it was more because of my superior attitude rather than my sympathies for him.

Fast forward several years later... Now I'm slaving unhappily and bitterly as an auditor in a Big 4. The pay isn't what I expected and the working hours are long and harsh (fellow auditors will know). In comparison, my friend is hitting $5K a month, and with weekend tuition, he brings home an additional $1K. Yet we've been in the workforce for the same amount of time - 3 years. I envy him tremendously, and now as the June holidays arrive, he's going on a trip to Paris with his girlfriend. While I'm stuck here trying to clear my load. Haiz..."
63836,"Being evergreen for the past 20plus years and to finally meet the guy that you really like, only for him to be already taken. but he keeps leading you on, and you keep holding on to the hope that he will choose you eventually.
But after 1 year you start becoming desperate and begging for him to stay, even when it's obvious he will never leave her.
Why."
63829,"To OP of #63829. Looking at my unofficial transcript, my cumulative CAP is 3.43. However, when I calculated my CAP manually, it tallied to 3.428. So I think a 3.994 will be rounded down to 3.99 and a 3.995 will be rounded up to a 4.0."
63827,"Hi guys really need your advice. Is it rude to ask your parents to write a will? My parents are not well-educated so they have no idea of what a will is. Whenever my brother mention that they should write up a will, they get angry and think that we are ‘cursing’ them. 

My brother and I have no ill intentions. It’s just that my parents had us late and they are well into their late 60s now. We love them but we fear our relatives who covet the flat that we currently have because it was left to my parents by my grandparents (and some of my aunts & uncles were not too happy about that). What should we do?"
63826,"Recently, I have matched up with a girl on a dating app. Chatted with her for a while before I asked for her number. We continue chatting on whatapps for 1 day more after which she just don't reply anymore.

I think she might be busy so I stopped for 1 day and text her again. I waited for few days and text again but to no avail.

If she don't want to chat, why did she give me her number? And if she don't want to chat anymore, why don't she just block me? I'm totally confused. I'm sure I didn't say anything funny or what to her. Could any kind soul offer any explanation for this? Should I continue to try or just move on? I would like to hear geninue opinions especially from the girls on NUSWhispers. Thanks!"
63819,Is it very normal to not have found a job yet until now? Have started looking for jobs since February but all are rejections or no-replies...
63818,"To those fresh graduates who have salary expectation that are more than 10k. Don't drop your expectations. Some people are just salty that others are able to find jobs that paid better than them. It is a nonsense that you require certain few years of experience to demand high salary. Only those cmi, accept low salary and impose their ideology into other people. If you think you are worth 10k, you are worth 10k. Only losers accept low paying jobs."
63817,"Anyone else graduating and still evergreen? I focused on getting grades and jobs, but I wonder if I should level up my bgr as well."
63814,"A rather stupid question but genuine guidance needed. How do people usually reply when acquaintances ask for your insta account? Met a couple of people in uni and honestly not very close to them, which means I will not show my retarded side when i'm around them. Hence, I'm not comfortable with them following my account as its relatively private. However, I'm afraid that they will get upset if I tell them upfront so I allowed some to follow. Similarly, I cant lie saying that I don't use insta when the app is already blatantly on my home screen. Yeap so how to reject them in a nice way?"
63806,"Hi there! I’m an incoming freshman and was wondering how do female students usually dress in school, especially in years 1&2? Do girls wear cami+ shorts or is that inappropriate (may be called slutty) etc? Also quite curious on FASS students’ dressing because i heard they dress more fancy? Please advise, thank you so much! :)"
63804,"My current job environment is really comfortable. The work life balance is superb and I get to knock off at or before 5.30 every day. 2 hr+ lunches are not an issue. My work is easy for a graduate to do and there is almost nothing that need thinking or brainstorming as everything is already planned and routine. The pay is pretty decent though not insane. Everyone is pretty laid back as well and there is very little pressure or politics.

I do count myself very lucky to be in such a job. But some people have told me that I should look for something more challenging as a young person, even with less pay. They said the mind will go rusty if we are in a Disneyland work environment all day and learn nothing and it is bad for my future career. Another group of people said I should really treasure this job as work life balance is so hard to find in singapore and less stress is the best for health. I can use the free time I have to pursue my hobbies, enjoy life and even start a 2nd side job to earn extra money. Which viewpoint should I take?"
63802,"Dear all local university graduates, when you are searching for a job, please ask for a realistic pay. 

Over the past week, I have interviewed some students who have ZERO working experience asking for pay of 7k and onwards.  When asked for their reason for wanting that pay, their reason? ""I graduated from a local university with first class honor"" 

Word of advice to all 
1. Please study the company properly before asking for sky high pay. Not all companies are Google, JP Morgan, Facebook that can give you sky high pay. 
2. Continuing from  point 1. find out who are you interviewing with and read up on his/her profile on LinkedIn etc. I have a handful of candidates whom are already informed that they are meeting the ""Regional Managing Director - APAC"" still tries to correct me on my company. 
3. Don't get all defensive and offended when the interviewer ask you ""Why do you think you deserve this pay"" etc.
4. Grades is nothing to the eyes of more and more companies, we are looking for the right person with the right attitude. Few years back, I hired a student from NUS who was nearly expelled twice and took 6 years to complete his degree. Today he is one of my managers with a team of 20 under him. 

With that, wishing all graduates good luck and all the best. Peace out"
63801,"Dunno why some girls like to build defence wall the moment she find out a guy likes her. Worse is to actually keep dropping hints of rejection to even blocking on facebook etc, totally destroying any friendship tats left. Why cant she juz tell the guy she c him only as a fren or colleague, i believe the guy will also respect her decision n the things end off amicably"
63800,"I was a scrawny, average looking little kid back then in year 1 and was frequently rejected for being a creep by many of my crushes ( I actually lowered my standards and go for girls that are within my league). I then sought to improve myself by hitting the gym over the many months and have finally attained a hunky (in my books) body shape. Feels good now that I have managed to get the attention of the girls in school.

However, I have a dilemma. Should I increase my expectations for girls since my value has sort of increase? I know it sounds bad and judgy, but based on the posts and comments over here, it seems that I should go after girls from the higher leagues instead of those who looked damn average and looked down on me in the past."
